Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Autres couleurs (product.metafields.custom.autres_couleurs),Autres couleurs disponibles waffle (product.metafields.custom.autres_couleurs_disponibles_waffle),Linked colors (product.metafields.custom.linked_colors),Restock badge (product.metafields.custom.restock_badge),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Nombre d’évaluations de produit (product.metafields.reviews.rating_count),Tranche d’âge (product.metafields.shopify.age-group),Caractéristiques des vêtements (product.metafields.shopify.clothing-features),Couleur (product.metafields.shopify.color-pattern),Tissu (product.metafields.shopify.fabric),Décolleté (product.metafields.shopify.neckline),Taille (product.metafields.shopify.size),Type de longueur du manche (product.metafields.shopify.sleeve-length-type),Sexe cible (product.metafields.shopify.target-gender),Type de longueur du haut (product.metafields.shopify.top-length-type),Produits complémentaires (product.metafields.shopify--discovery--product_recommendation.complementary_products),Produits connexes (product.metafields.shopify--discovery--product_recommendation.related_products),Paramètres des produits connexes (product.metafields.shopify--discovery--product_recommendation.related_products_display),Mises en avant de produits dans la recherche (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
jean-pearl,Pearl - J,"<p>Classic denim, enhanced with pearl accents.<br>A timeless base with a refined edge.</p>
<p> </p>
<ul>
<li>100% cotton denim (non-stretch)</li>
<li>14 oz denim (450GSM)</li>
<li>Flare fit</li>
<li>Riveted pearl detailing, built to last</li>
<li>Woven fabric</li>
<li>Embroidered details</li>
<li>Custom jacron patch</li>
<li>Each piece includes exclusive goodies &lt;3</li>
</ul>",Noclout,Apparel & Accessories > Clothing > Pants > Jeans,"","",false,Size,XS,,,,,,,,JNS-XS-PRL,950.0,shopify,1,deny,manual,94.99,,true,true,,,,,JNS-XS-PRL,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/Pearl-Jeans-1.jpg?v=1774537808,1,"",false,,,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,draft
jean-pearl,,,,,,,,,S,,,,,,,,JNS-S-PRL,1010.0,shopify,1,deny,manual,94.99,,true,true,,,,,JNS-S-PRL,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/Pearl-Jeans-2.jpg?v=1774537808,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
jean-pearl,,,,,,,,,M,,,,,,,,JNS-M-PRL,1070.0,shopify,1,deny,manual,94.99,,true,true,,,,,JNS-M-PRL,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/Pearl-Jeans-3.jpg?v=1774537809,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
jean-pearl,,,,,,,,,L,,,,,,,,JNS-L-PRL,1130.0,shopify,1,deny,manual,94.99,,true,true,,,,,JNS-L-PRL,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/Pearl-Jeans-4.jpg?v=1774537809,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
jean-pearl,,,,,,,,,XL,,,,,,,,JNS-XL-PRL,1180.0,shopify,1,deny,manual,94.99,,true,true,,,,,JNS-XL-PRL,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/Pearl-Jeans-5.jpg?v=1774537808,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
jean-pearl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/Pearl-Jeans-6.jpg?v=1774537808,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jean-pearl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/Pearl-Jeans-7.jpg?v=1774537808,7,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tee-pearl,Pearl - T,"<p style=""text-align: left;"">An everyday piece, reworked with pearl accents.<br>Familiar shape, unexpected finish.<br></p>
<p style=""text-align: left;""> </p>
<ul>
<li style=""text-align: left;"">330 gsm cotton fabric</li>
<li style=""text-align: left;"">100% cotton</li>
<li style=""text-align: left;"">Relaxed fit</li>
<li style=""text-align: left;"">Front embroidery</li>
<li style=""text-align: left;"">Hand-sewn pearl detailing, built to last</li>
<li style=""text-align: left;"">Each piece features a slightly unique pearl placement</li>
<li style=""text-align: left;"">Each piece includes exclusive goodies &lt;3</li>
</ul>",Noclout,Apparel & Accessories > Clothing > Clothing Tops > T-Shirts,"","",false,Size,XS,,,,,,,,TEE-XS-PRL,950.0,shopify,1,deny,manual,49.99,,true,true,,,,,TEE-XS-PRL,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/Pearl-Tee-1.jpg?v=1774537773,1,"",false,,,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,draft
tee-pearl,,,,,,,,,S,,,,,,,,TEE-S-PRL,1010.0,shopify,1,deny,manual,49.99,,true,true,,,,,TEE-S-PRL,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/Pearl-Tee-2.jpg?v=1774537773,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
tee-pearl,,,,,,,,,M,,,,,,,,TEE-M-PRL,1070.0,shopify,1,deny,manual,49.99,,true,true,,,,,TEE-M-PRL,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/Pearl-Tee-3.jpg?v=1774537774,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
tee-pearl,,,,,,,,,L,,,,,,,,TEE-L-PRL,1130.0,shopify,1,deny,manual,49.99,,true,true,,,,,TEE-L-PRL,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/Pearl-Tee-4.jpg?v=1774537773,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
tee-pearl,,,,,,,,,XL,,,,,,,,TEE-XL-PRL,1180.0,shopify,1,deny,manual,49.99,,true,true,,,,,TEE-XL-PRL,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/Pearl-Tee-5.jpg?v=1774537774,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
zip-pearl,Pearl - Z,"<p><span class=""s1"">A heavyweight zip, detailed with hand-applied pearls.<br></span><span class=""s1"">Structure and softness in the same piece.</span></p>
<p> </p>
<ul>
<li class=""p1"">
<span class=""s1"">Color :</span> Grey</li>
<li class=""p1"">
<span class=""s1"">Material :</span> 100% cotton French Terry</li>
<li class=""p1"">450 GSM</li>
<li class=""p2"">White embroidered front &amp; back logo</li>
<li class=""p2"">YKK zipper</li>
<li class=""p2"">Every order comes with exclusive goodies &lt;3<br>
</li>
</ul>",Noclout,Apparel & Accessories > Clothing > Clothing Tops > Hoodies,"","",false,Size,XS,,,,,,,,ZIP-XS-PRL,950.0,shopify,1,deny,manual,94.99,,true,true,,,,,ZIP-XS-PRL,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/Pearl-Zip-1.jpg?v=1774537745,1,"",false,,,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,draft
zip-pearl,,,,,,,,,S,,,,,,,,ZIP-S-PRL,1010.0,shopify,1,deny,manual,94.99,,true,true,,,,,ZIP-S-PRL,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/Pearl-Zip-2.jpg?v=1774537745,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
zip-pearl,,,,,,,,,M,,,,,,,,ZIP-M-PRL,1070.0,shopify,1,deny,manual,94.99,,true,true,,,,,ZIP-M-PRL,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/Pearl-Zip-3_e5fdc7c2-95f8-4339-a48f-e8cb8a81acbd.jpg?v=1774540858,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
zip-pearl,,,,,,,,,L,,,,,,,,ZIP-L-PRL,1130.0,shopify,1,deny,manual,94.99,,true,true,,,,,ZIP-L-PRL,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/Pearl-Zip-4.jpg?v=1774540858,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
zip-pearl,,,,,,,,,XL,,,,,,,,ZIP-XL-PRL,1180.0,shopify,1,deny,manual,94.99,,true,true,,,,,ZIP-XL-PRL,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/Pearl-Zip-5.jpg?v=1774540858,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
zip-pearl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/Pearl-Zip-6.jpg?v=1774540858,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
darker-link-zip,Darker Link Zip,"<ul>
<li class=""p2""><span class=""s1""></span></li>
</ul>",Noclout,Apparel & Accessories > Clothing > Clothing Tops > Hoodies,"","",false,Size,XS,,,,,,,,ZIP-XS-LDKR,950.0,shopify,1,deny,manual,94.99,,true,true,,,,,ZIP-XS-LDKR,,,,false,,,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,draft
darker-link-zip,,,,,,,,,S,,,,,,,,ZIP-S-LDKR,1010.0,shopify,1,deny,manual,94.99,,true,true,,,,,ZIP-S-LDKR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
darker-link-zip,,,,,,,,,M,,,,,,,,ZIP-M-LDKR,1070.0,shopify,1,deny,manual,94.99,,true,true,,,,,ZIP-M-LDKR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
darker-link-zip,,,,,,,,,L,,,,,,,,ZIP-L-LDKR,1130.0,shopify,1,deny,manual,94.99,,true,true,,,,,ZIP-L-LDKR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
darker-link-zip,,,,,,,,,XL,,,,,,,,ZIP-XL-LDKR,1180.0,shopify,1,deny,manual,94.99,,true,true,,,,,ZIP-XL-LDKR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
pinky-link-zip,Pinky Link Zip,"<ul>
<li class=""p2""><span class=""s1""></span></li>
</ul>",Noclout,Apparel & Accessories > Clothing > Clothing Tops > Hoodies,"","",false,Size,XS,,,,,,,,ZIP-XS-LPNK,950.0,shopify,1,deny,manual,94.99,,true,true,,,,,ZIP-XS-LPNK,,,,false,,,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,draft
pinky-link-zip,,,,,,,,,S,,,,,,,,ZIP-S-LPNK,1010.0,shopify,1,deny,manual,94.99,,true,true,,,,,ZIP-S-LPNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
pinky-link-zip,,,,,,,,,M,,,,,,,,ZIP-M-LPNK,1070.0,shopify,1,deny,manual,94.99,,true,true,,,,,ZIP-M-LPNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
pinky-link-zip,,,,,,,,,L,,,,,,,,ZIP-L-LPNK,1130.0,shopify,1,deny,manual,94.99,,true,true,,,,,ZIP-L-LPNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
pinky-link-zip,,,,,,,,,XL,,,,,,,,ZIP-XL-LPNK,1180.0,shopify,1,deny,manual,94.99,,true,true,,,,,ZIP-XL-LPNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
pinky-link-tee,Pinky link tee,"",Noclout,Apparel & Accessories > Clothing > Clothing Tops > T-Shirts,"","",false,Taille,xs,product.metafields.shopify.size,,,,,,,TEE-XS-PKYL,470.0,shopify,1,deny,manual,39.99,,true,true,,,,,TEE-XS-PKYL,,,,false,,,212,,,,,,,,,,,,,,,,,,,,,,xs; s; m; l; xl,,,,,,,,,kg,,,draft
pinky-link-tee,,,,,,,,,s,,,,,,,,TEE-S-PKYL,480.0,shopify,1,deny,manual,39.99,,true,true,,,,,TEE-S-PKYL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
pinky-link-tee,,,,,,,,,m,,,,,,,,TEE-M-PKYL,490.0,shopify,1,deny,manual,39.99,,true,true,,,,,TEE-M-PKYL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
pinky-link-tee,,,,,,,,,l,,,,,,,,TEE-L-PKYL,500.0,shopify,1,deny,manual,39.99,,true,true,,,,,TEE-L-PKYL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
pinky-link-tee,,,,,,,,,xl,,,,,,,,TEE-XL-PKYL,510.0,shopify,1,deny,manual,39.99,,true,true,,,,,TEE-XL-PKYL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
noir-cart-holder,Noir Card Holder,"<ul>
<li class=""p1"">
<span class=""s1"">Color :</span> Black</li>
<li class=""p1"">
<span class=""s1"">Material :</span> 100% genuine leather</li>
<li class=""p2"">Metallic logo — secured with rivets (no glue), built to last</li>
<li class=""p2"">White stitching on the back </li>
<li class=""p2"">Includes a care instruction card</li>
<li class=""p2"">Delivered in a custom box</li>
<li class=""p2"">Every order comes with exclusive goodies &lt;3<br>
</li>
</ul>",Noclout,Apparel & Accessories,"","",true,Title,Default Title,,,,,,,,ACS-PC-NOIR,120.0,shopify,243,deny,manual,44.99,,true,true,,,,,ACS-PC-NOIR,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/BLACK_PORTE_CARTE_-_1_4.jpg?v=1770809284,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
noir-cart-holder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/BLACK_PORTE_CARTE_-_2_4.jpg?v=1770809284,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
noir-cart-holder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/BLACK_PORTE_CARTE_-_4_4.jpg?v=1770809284,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
noir-cart-holder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/BLACK_PORTE_CARTE_-_3_4.jpg?v=1770809284,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
noir-trucker-hat,Noir Trucker Hat,"<ul>
<li class=""p1"">
<span class=""s1"">Color :</span> Black</li>
<li class=""p1"">
<span class=""s1"">Material :</span> 100% polyester</li>
<li class=""p2"">One size — fully adjustable</li>
<li class=""p2"">Embroidered front logo</li>
<li class=""p2"">3D embroidery under the visor</li>
<li class=""p2"">Branded interior taping</li>
<li class=""p2"">Every order comes with exclusive goodies &lt;3<br>
</li>
</ul>",Noclout,Apparel & Accessories,"","",true,Title,Default Title,,,,,,,,ACS-HT-NOIR,200.0,shopify,9,deny,manual,34.99,,true,true,,,,,ACS-HT-NOIR,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/BLACK_CAP_-_1.jpg?v=1770809248,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
noir-trucker-hat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/BLACK_CAP_-_2.jpg?v=1770809248,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
noir-trucker-hat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/BLACK_CAP_-_3.jpg?v=1770809248,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
noir-trucker-hat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/Cap_Black_Portee1.jpg?v=1772700847,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
noir-waffle-1,Noir Waffle,"<ul>
<li class=""p1"">
<span class=""s1"">Color :</span> Black</li>
<li class=""p1"">
<span class=""s1"">Material :</span> 65% cotton, 35% polyester</li>
<li class=""p2"">Waffle texture</li>
<li class=""p2"">Embroidered front logo</li>
<li class=""p2"">Embroidered logo on back collar</li>
<li class=""p2"">Every order comes with exclusive goodies &lt;3<br>
</li>
</ul>",Noclout,Apparel & Accessories > Clothing Accessories > Hats,"","",true,Size,XS,,,,,,,,WFL-XS-NOIR,540.0,shopify,4,deny,manual,49.99,,true,true,,,,,WFL-XS-NOIR,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/BLACK_WAFFLE_-_1.jpg?v=1770809285,1,"",false,,,173,,,,,,,,,,,citrus-waffle; flamingo-waffle; lilas-waffle; noir-waffle-1; sky-waffle; pure-white-waffle,,,,,,,,,,,,,,,,,,,,kg,,,active
noir-waffle-1,,,,,,,,,S,,,,,,,,WFL-S-NOIR,580.0,shopify,4,deny,manual,49.99,,true,true,,,,,WFL-S-NOIR,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/BLACK_WAFFLE_-_2.jpg?v=1770809285,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
noir-waffle-1,,,,,,,,,M,,,,,,,,WFL-M-NOIR,620.0,shopify,0,deny,manual,49.99,,true,true,,,,,WFL-M-NOIR,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/Waffle_Portee1.jpg?v=1772700906,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
noir-waffle-1,,,,,,,,,L,,,,,,,,WFL-L-NOIR,660.0,shopify,7,deny,manual,49.99,,true,true,,,,,WFL-L-NOIR,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/Waffle_Portee2.jpg?v=1772700906,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
noir-waffle-1,,,,,,,,,XL,,,,,,,,WFL-XL-NOIR,700.0,shopify,14,deny,manual,49.99,,true,true,,,,,WFL-XL-NOIR,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/Waffle_Portee3.jpg?v=1772700906,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
noir-waffle-1,,,,,,,,,XXL,,,,,,,,WFL-XXL-NOIR,540.0,shopify,9,deny,manual,49.99,,true,true,,,,,WFL-XXL-NOIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
structure-tracksuits-1,Structure Tracksuits,"<ul>
<li class=""p1"">
<span class=""s1"">Color :</span> Black</li>
<li class=""p1"">
<span class=""s1"">Material :</span> 100% cotton</li>
<li class=""p1"">380 GSM</li>
<li class=""p1"">Paneled construction on front and back legs</li>
<li class=""p2"">3D embroidered logo on back pocket</li>
<li class=""p2"">Adjustable drawstrings at waist and cuffs</li>
<li class=""p2"">Every order comes with exclusive goodies &lt;3</li>
<li class=""p2"">Pre-order item — ships in 5 to 6 weeks</li>
</ul>",Noclout,Apparel & Accessories > Clothing Accessories > Hats,"","",true,Size,XS,,,,,,,,TKS-XS-SRCT,730.0,shopify,5,deny,manual,84.99,,true,true,,,,,TKS-XS-SRCT,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/BLACK_JOGGING_-_1.jpg?v=1770812547,1,"",false,,,173,,,,,,,,,,,,,,,,'1,,,,,,,,,,,,,,,kg,,,active
structure-tracksuits-1,,,,,,,,,S,,,,,,,,TKS-S-SRCT,780.0,shopify,1,deny,manual,84.99,,true,true,,,,,TKS-S-SRCT,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/BLACK_JOGGING_-_2.jpg?v=1770812547,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
structure-tracksuits-1,,,,,,,,,M,,,,,,,,TKS-M-SRCT,830.0,shopify,6,deny,manual,84.99,,true,true,,,,,TKS-M-SRCT,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/Structure_Hoodie_Portee1.jpg?v=1772701259,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
structure-tracksuits-1,,,,,,,,,L,,,,,,,,TKS-L-SRCT,880.0,shopify,0,deny,manual,84.99,,true,true,,,,,TKS-L-SRCT,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/Structure_Hoodie_Portee2.jpg?v=1772701259,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
structure-tracksuits-1,,,,,,,,,XL,,,,,,,,TKS-XL-SRCT,930.0,shopify,2,deny,manual,84.99,,true,true,,,,,TKS-XL-SRCT,https://cdn.shopify.com/s/files/1/0654/3828/6065/files/Structure_Hoodie_Portee3.jpg?v=1772701259,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
